Vertices, Density, Type, Flow, Time
200, 0.1, List, 147, 00:00:00.0058267
200, 0.1, List, 210, 00:00:00.0084513
200, 0.1, List, 204, 00:00:00.0114497
200, 0.1, List, 140, 00:00:00.0149993
200, 0.1, List, 181, 00:00:00.0187218
200, 0.1, List, 206, 00:00:00.0240162
200, 0.1, List, 125, 00:00:00.0272774
200, 0.1, List, 123, 00:00:00.0288604
200, 0.1, List, 184, 00:00:00.0333183
200, 0.1, List, 187, 00:00:00.0372109
200, 0.1, List, 155, 00:00:00.0413757
200, 0.1, List, 202, 00:00:00.0472910
200, 0.1, List, 209, 00:00:00.0531900
200, 0.1, List, 201, 00:00:00.0560574
200, 0.1, List, 229, 00:00:00.0595915
200, 0.1, List, 237, 00:00:00.0651324
200, 0.1, List, 113, 00:00:00.0663978
200, 0.1, List, 115, 00:00:00.0673553
200, 0.1, List, 193, 00:00:00.0703904
200, 0.1, List, 220, 00:00:00.0770505
Average flow: 179
