Vertices, Density, Type, Flow, Time
300, 0.8, List, 230, 00:00:00.1248160
300, 0.8, List, 248, 00:00:00.1264435
300, 0.8, List, 237, 00:00:00.2016970
300, 0.8, List, 243, 00:00:00.1298059
300, 0.8, List, 230, 00:00:00.0468360
300, 0.8, List, 234, 00:00:00.0587269
300, 0.8, List, 234, 00:00:00.0734040
300, 0.8, List, 234, 00:00:00.0442678
300, 0.8, List, 233, 00:00:00.0646106
300, 0.8, List, 231, 00:00:00.0610494
Average flow: 235
300, 0.8, Matrix, 239, 00:00:00.1669007
300, 0.8, Matrix, 233, 00:00:00.0643749
300, 0.8, Matrix, 224, 00:00:00.0428460
300, 0.8, Matrix, 238, 00:00:00.0666455
300, 0.8, Matrix, 235, 00:00:00.0388632
300, 0.8, Matrix, 250, 00:00:00.0538272
300, 0.8, Matrix, 229, 00:00:00.0666925
300, 0.8, Matrix, 235, 00:00:00.0502318
300, 0.8, Matrix, 231, 00:00:00.0633853
300, 0.8, Matrix, 242, 00:00:00.0462330
Average flow: 235
200, 0.05, List, 8, 00:00:00.0027237
200, 0.05, List, 11, 00:00:00.0010936
200, 0.05, List, 8, 00:00:00.0005896
200, 0.05, List, 9, 00:00:00.0005264
200, 0.05, List, 4, 00:00:00.0000691
200, 0.05, List, 4, 00:00:00.0005292
200, 0.05, List, 6, 00:00:00.0005401
200, 0.05, List, 6, 00:00:00.0006555
200, 0.05, List, 6, 00:00:00.0006431
200, 0.05, List, 5, 00:00:00.0003638
Average flow: 6
200, 0.05, Matrix, 8, 00:00:00.0078117
200, 0.05, Matrix, 7, 00:00:00.0051752
200, 0.05, Matrix, 3, 00:00:00.0009587
200, 0.05, Matrix, 8, 00:00:00.0059356
200, 0.05, Matrix, 10, 00:00:00.0027055
200, 0.05, Matrix, 11, 00:00:00.0061198
200, 0.05, Matrix, 11, 00:00:00.0046507
200, 0.05, Matrix, 10, 00:00:00.0023711
200, 0.05, Matrix, 11, 00:00:00.0050588
200, 0.05, Matrix, 7, 00:00:00.0041404
Average flow: 8
10, 0.7, List, 5, 00:00:00.0043497
10, 0.7, List, 6, 00:00:00.0000371
10, 0.7, List, 8, 00:00:00.0000280
10, 0.7, List, 3, 00:00:00.0000164
10, 0.7, List, 6, 00:00:00.0000173
10, 0.7, List, 6, 00:00:00.0000217
10, 0.7, List, 5, 00:00:00.0000205
10, 0.7, List, 4, 00:00:00.0000232
10, 0.7, List, 5, 00:00:00.0000191
10, 0.7, List, 5, 00:00:00.0000184
Average flow: 5
10, 0.7, Matrix, 5, 00:00:00.0028093
10, 0.7, Matrix, 6, 00:00:00.0000329
10, 0.7, Matrix, 6, 00:00:00.0000156
10, 0.7, Matrix, 6, 00:00:00.0000145
10, 0.7, Matrix, 5, 00:00:00.0000145
10, 0.7, Matrix, 6, 00:00:00.0000172
10, 0.7, Matrix, 5, 00:00:00.0000140
10, 0.7, Matrix, 4, 00:00:00.0000181
10, 0.7, Matrix, 4, 00:00:00.0000460
10, 0.7, Matrix, 5, 00:00:00.0000183
Average flow: 5
50, 0.5, List, 16, 00:00:00.0032287
50, 0.5, List, 19, 00:00:00.0002354
50, 0.5, List, 18, 00:00:00.0003431
50, 0.5, List, 22, 00:00:00.0004097
50, 0.5, List, 21, 00:00:00.0002300
50, 0.5, List, 23, 00:00:00.0003444
50, 0.5, List, 27, 00:00:00.0003427
50, 0.5, List, 20, 00:00:00.0003628
50, 0.5, List, 20, 00:00:00.0008536
50, 0.5, List, 27, 00:00:00.0004132
Average flow: 21
50, 0.5, Matrix, 22, 00:00:00.0034253
50, 0.5, Matrix, 24, 00:00:00.0003411
50, 0.5, Matrix, 20, 00:00:00.0003623
50, 0.5, Matrix, 24, 00:00:00.0003817
50, 0.5, Matrix, 16, 00:00:00.0002180
50, 0.5, Matrix, 23, 00:00:00.0003977
50, 0.5, Matrix, 20, 00:00:00.0002229
50, 0.5, Matrix, 20, 00:00:00.0003074
50, 0.5, Matrix, 23, 00:00:00.0003536
50, 0.5, Matrix, 20, 00:00:00.0002215
Average flow: 21
100, 0.1, List, 8, 00:00:00.0073080
100, 0.1, List, 4, 00:00:00.0002611
100, 0.1, List, 9, 00:00:00.0003341
100, 0.1, List, 10, 00:00:00.0004746
100, 0.1, List, 5, 00:00:00.0001877
100, 0.1, List, 6, 00:00:00.0001342
100, 0.1, List, 5, 00:00:00.0001932
100, 0.1, List, 6, 00:00:00.0000784
100, 0.1, List, 11, 00:00:00.0003447
100, 0.1, List, 8, 00:00:00.0001830
Average flow: 7
100, 0.1, Matrix, 9, 00:00:00.0032804
100, 0.1, Matrix, 9, 00:00:00.0012324
100, 0.1, Matrix, 6, 00:00:00.0011645
100, 0.1, Matrix, 15, 00:00:00.0014946
100, 0.1, Matrix, 7, 00:00:00.0002754
100, 0.1, Matrix, 5, 00:00:00.0002505
100, 0.1, Matrix, 5, 00:00:00.0010467
100, 0.1, Matrix, 10, 00:00:00.0009799
100, 0.1, Matrix, 8, 00:00:00.0003690
100, 0.1, Matrix, 11, 00:00:00.0013603
Average flow: 8
