Vertices, Density, Type, Flow, Time
200, 0,1, List, 157, 00:00:00.0083620
200, 0,1, List, 135, 00:00:00.0099166
200, 0,1, List, 177, 00:00:00.0139834
200, 0,1, List, 207, 00:00:00.0184850
200, 0,1, List, 177, 00:00:00.0200184
200, 0,1, List, 186, 00:00:00.0235393
200, 0,1, List, 151, 00:00:00.0279881
200, 0,1, List, 143, 00:00:00.0299224
200, 0,1, List, 196, 00:00:00.0342853
200, 0,1, List, 142, 00:00:00.0370403
200, 0,1, List, 230, 00:00:00.0422115
200, 0,1, List, 202, 00:00:00.0471025
200, 0,1, List, 158, 00:00:00.0514440
200, 0,1, List, 187, 00:00:00.0564057
200, 0,1, List, 173, 00:00:00.0616479
200, 0,1, List, 250, 00:00:00.0670152
200, 0,1, List, 207, 00:00:00.0710289
200, 0,1, List, 124, 00:00:00.0724204
200, 0,1, List, 108, 00:00:00.0737000
200, 0,1, List, 204, 00:00:00.0774947
Average flow: 175
